sql_keyword,special_char,comment_char,wildcard_char,escape_char,label
0,0,0,0,0,1
0,2,0,0,0,1
0,4,1,0,0,1
1,10,1,0,0,1
0,1,0,0,0,1
0,1,0,0,0,1
2,11,0,0,0,1
1,9,1,0,0,1
1,9,1,0,0,1
1,9,1,0,0,1
1,9,0,0,0,1
3,26,1,0,0,1
1,10,1,0,0,1
2,9,0,3,0,1
1,9,1,0,0,1
1,16,1,1,0,1
0,0,0,0,0,1
1,5,0,0,0,1
1,9,0,0,0,1
1,16,0,1,0,1
0,0,0,0,0,1
0,1,0,0,0,1
3,13,0,2,0,1
1,5,0,0,0,1
4,26,1,0,0,1
0,0,0,0,0,1
1,16,0,1,0,1
0,9,1,0,1,1
0,2,0,0,1,1
2,11,0,2,0,1
2,14,0,0,0,1
4,49,0,0,0,1
4,24,1,0,0,1
3,9,2,0,0,1
1,5,0,0,0,1
1,9,0,0,0,1
0,23,0,1,0,1
0,23,0,0,0,1
0,43,0,3,0,1
0,39,0,4,0,1
0,39,0,4,0,1
0,39,0,4,0,1
0,39,0,5,0,1
0,53,0,4,0,1
0,53,0,3,0,1
2,54,0,5,0,1
0,55,0,6,0,1
0,61,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
0,69,0,4,0,1
0,69,0,3,0,1
3,71,0,6,0,1
0,71,0,7,0,1
0,77,0,7,0,1
1,48,0,0,0,1
0,2,0,0,0,1
0,4,0,0,0,1
0,8,0,0,0,1
1,9,1,0,0,1
1,4,0,0,0,1
1,9,0,0,0,1
1,10,0,0,0,1
1,13,1,0,0,1
1,9,0,0,0,1
1,13,1,0,0,1
0,5,1,0,0,1
1,8,1,0,0,1
1,8,1,0,0,1
1,9,1,0,0,1
1,6,1,0,0,1
1,9,0,0,0,1
1,9,0,0,0,1
1,15,0,0,0,1
1,4,0,0,0,1
4,10,1,1,0,1
5,12,0,1,0,1
0,8,1,0,0,1
0,8,1,0,0,1
0,11,1,0,0,1
7,31,1,0,0,1
2,16,1,0,0,1
2,9,1,0,0,1
1,12,0,0,0,1
1,15,0,0,0,1
1,12,0,0,0,1
2,10,0,1,0,1
1,6,0,0,0,1
1,10,0,0,0,1
1,15,0,0,0,1
2,7,0,0,0,1
2,12,0,0,0,1
4,24,0,0,0,1
2,4,0,0,0,1
1,8,2,0,0,1
0,9,4,0,0,1
2,20,0,0,0,1
1,23,0,0,0,1
1,20,8,0,0,1
1,5,1,0,0,1
1,12,1,0,0,1
1,9,0,0,0,1
1,13,1,0,0,1
1,9,1,0,0,1
5,48,0,0,0,1
1,12,1,0,0,1
3,16,1,0,0,1
2,20,0,1,0,1
0,36,0,1,0,1
1,62,0,1,0,1
1,16,1,1,0,1
1,7,0,0,0,1
4,13,0,0,0,1
2,9,1,0,0,1
2,10,0,1,0,1
1,10,0,1,0,1
3,40,0,0,0,1
0,9,0,0,0,1
2,111,0,0,0,1
1,9,1,0,0,1
2,15,1,0,0,1
3,26,1,0,0,1
3,28,1,0,0,1
3,31,1,0,0,1
3,33,1,0,0,1
3,35,1,0,0,1
2,43,1,0,0,1
2,43,1,0,0,1
2,43,1,0,0,1
2,43,1,0,0,1
2,28,1,1,0,1
1,27,1,1,0,1
2,43,1,0,0,1
2,43,1,0,0,1
6,32,1,0,1,1
6,33,1,0,1,1
5,32,1,0,1,1
8,37,1,0,0,1
6,33,1,0,1,1
5,32,1,0,0,1
6,33,1,0,0,1
5,25,1,0,2,1
5,24,1,0,1,1
6,25,1,0,1,1
6,26,1,0,2,1
5,25,1,0,1,1
6,26,1,0,1,1
6,29,1,0,1,1
7,29,1,0,0,1
7,29,1,0,0,1
4,21,1,0,0,1
5,25,1,0,2,1
6,32,1,0,0,1
6,26,1,0,2,1
6,26,1,0,1,1
6,32,2,0,0,1
6,28,1,0,0,1
5,26,1,0,0,1
6,27,1,0,0,1
5,24,1,0,1,1
5,25,1,0,1,1
6,26,1,0,1,1
6,25,1,0,1,1
5,25,1,0,1,1
6,25,1,0,0,1
6,26,1,0,1,1
6,26,1,0,0,1
5,25,1,0,2,1
6,26,1,0,2,1
5,23,1,0,1,1
6,24,1,0,1,1
6,25,1,0,2,1
6,25,1,0,2,1
5,24,1,0,1,1
6,25,1,0,1,1
5,27,1,0,1,1
6,28,1,0,1,1
5,24,1,0,0,1
6,29,1,0,0,1
6,30,1,0,1,1
6,33,2,0,0,1
6,32,1,0,0,1
4,28,1,0,1,1
5,29,1,0,1,1
5,27,1,0,0,1
4,20,1,0,0,1
5,28,1,0,0,1
4,30,1,0,1,1
5,31,1,0,1,1
5,26,1,0,0,1
7,27,1,0,0,1
5,32,1,0,0,1
5,25,1,0,0,1
5,24,1,0,1,1
7,27,1,0,0,1
4,23,1,0,0,1
4,23,1,0,0,1
5,28,1,0,0,1
4,21,1,0,0,1
7,28,1,0,0,1
5,27,2,0,0,1
5,28,1,0,0,1
5,34,1,0,0,1
5,23,1,0,1,1
4,23,1,0,0,1
5,28,1,0,0,1
4,22,1,1,0,1
5,27,1,1,0,1
7,28,1,0,0,1
4,21,1,0,0,1
4,27,1,0,0,1
7,34,1,0,0,1
7,34,1,0,0,1
7,28,1,0,0,1
7,28,1,0,0,1
5,26,2,0,0,1
4,30,1,0,1,1
5,31,1,0,1,1
5,25,1,0,1,1
5,28,1,0,0,1
5,34,1,0,0,1
5,28,1,0,0,1
4,26,1,1,2,1
4,25,1,1,1,1
5,26,1,1,1,1
5,27,1,0,2,1
4,26,1,1,1,1
5,27,1,0,1,1
7,32,1,0,0,1
5,26,1,0,0,1
5,27,1,0,0,1
5,26,1,0,0,1
5,26,1,0,0,1
5,25,1,0,0,1
5,27,1,0,0,1
7,26,1,0,0,1
5,26,1,1,0,1
5,27,1,0,1,1
7,27,2,0,0,1
7,26,1,0,0,1
5,27,1,1,0,1
5,26,1,0,0,1
5,27,1,0,0,1
5,27,1,0,0,1
5,26,1,0,0,1
5,27,1,0,0,1
5,28,1,0,0,1
5,27,1,0,0,1
5,27,1,0,0,1
5,28,1,0,0,1
5,27,1,0,0,1
5,28,1,0,0,1
5,26,1,0,0,1
5,28,1,0,0,1
7,28,1,0,0,1
5,27,1,1,0,1
5,28,1,1,0,1
5,27,1,0,0,1
5,28,1,0,0,1
5,28,1,0,0,1
4,24,1,0,0,1
5,25,1,0,0,1
4,23,1,0,0,1
5,24,1,0,0,1
4,23,1,0,0,1
4,30,1,0,0,1
5,31,1,0,0,1
4,24,1,0,0,1
5,25,1,0,0,1
5,24,1,0,0,1
4,26,1,1,1,1
4,25,1,1,0,1
5,26,1,1,0,1
5,27,1,0,1,1
4,26,1,1,0,1
5,27,1,0,0,1
4,22,1,0,0,1
4,28,1,1,1,1
5,29,1,0,1,1
4,27,1,1,0,1
7,34,1,0,0,1
4,28,1,1,0,1
4,28,1,1,0,1
4,23,1,0,0,1
4,24,1,0,0,1
5,28,1,0,0,1
5,28,1,0,0,1
5,35,1,0,0,1
5,24,1,0,1,1
4,24,1,0,0,1
5,29,1,0,0,1
4,21,1,0,0,1
7,28,1,0,0,1
7,28,1,0,0,1
5,28,3,0,0,1
4,23,1,0,0,1
5,28,1,0,0,1
5,23,1,0,1,1
4,23,1,0,0,1
4,24,1,1,0,1
5,25,1,0,0,1
4,23,1,1,0,1
5,24,1,1,0,1
4,24,1,1,0,1
5,29,1,1,0,1
4,24,1,0,0,1
4,23,1,1,0,1
7,30,1,0,0,1
5,28,1,0,0,1
5,35,1,0,0,1
5,29,1,0,0,1
4,24,1,1,0,1
5,29,1,0,0,1
5,29,1,0,0,1
4,22,1,0,0,1
6,35,1,0,0,1
6,35,1,0,1,1
6,36,1,0,1,1
8,40,1,0,0,1
5,28,1,0,2,1
6,28,1,0,1,1
6,29,1,0,2,1
6,29,1,0,1,1
6,32,1,0,1,1
7,32,1,0,0,1
4,24,1,0,0,1
8,35,1,1,0,1
6,31,1,0,0,1
5,29,1,0,0,1
6,30,1,0,0,1
5,27,1,0,1,1
6,29,1,0,1,1
6,28,1,0,1,1
6,29,1,0,0,1
5,28,1,0,2,1
6,29,1,0,2,1
5,26,1,0,1,1
6,31,1,0,0,1
6,28,1,0,2,1
5,27,1,0,1,1
6,28,1,0,1,1
6,31,1,0,1,1
5,27,1,0,0,1
6,32,1,0,0,1
6,39,1,0,0,1
6,34,1,0,0,1
6,35,1,0,0,1
5,29,1,0,0,1
5,30,1,0,0,1
5,27,1,0,0,1
5,26,1,0,0,1
0,0,0,0,0,1
5,27,1,0,0,1
5,27,1,1,0,1
6,31,2,0,0,1
6,37,2,0,0,1
6,33,2,0,0,1
6,31,2,0,0,1
5,27,2,0,0,1
5,27,1,1,0,1
5,27,1,1,0,1
5,30,2,0,0,1
6,35,2,0,0,1
5,27,1,0,0,1
